#
# file startX startY startZ orientationDeg scale
#
church.txt 0 0 6000 0 2
runway.txt 2000 0 6000 0 1
hanger.txt 1500 0 6500 0 1
#hangerNew.dat 1400 0 6500 0 1
Apitts.dat 1400 30 6500 0 2
Apitts.dat 4000 500 13000 0 2
tree.txt 2300 0 7000 0 2
church.txt -1000 0 8000 0 2
house.txt -1000 0 8250 23 1
house.txt -1000 0 8500 46 1
house.txt -1000 0 8750 69 1
house.txt -1000 0 9000 90 1
house.txt -1000 0 9250 113 1
highris1.txt -1000 0 5000 0 1
highris1.txt -1250 0 5500 0 2
highris2.txt -1750 0 5250 0 1
highris2.txt -1750 0 6000 0 2
highris3.txt -2250 0 5750 0 1
highris3.txt -1250 0 5250 0 2
runway2.txt 4000 0 13000 45 1
hanger.txt 3500 0 13500 45 1
tree.txt -2000 0 16500 0 2
tree.txt -2500 0 15500 0 2
tree.txt -2500 0 17000 0 2
tree.txt -3000 0 16500 0 2
tree.txt -3500 0 15500 0 2
tree.txt -2000 0 15000 0 2
tree.txt -4000 0 16500 0 3
house.txt -4500 0 16250 0 1
house.txt -4500 0 16500 0 1
flagpoll.txt 1750 2 8750 0 2
house.txt 2500 0 14500 0 1
house.txt 2250 0 14250 45 1
house.txt 2000 0 14000 86 1
house.txt 1750 0 14250 120 1
house.txt 1750 0 14750 224 1
house.txt 2000 0 15000 270 1
house.txt 2250 0 14750 344 1
church.txt 1500 0 14500 0 2
endOfObjects
